GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ShareIt,ru.practicum.shareit.item.comment,CommentMapper,4,36,2,2,0,12,2,2,0,2
ShareIt,ru.practicum.shareit.item.comment,CommentServiceImpl,10,32,2,2,2,9,2,3,0,3
ShareIt,ru.practicum.shareit.exception,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
ShareIt,ru.practicum.shareit.exception,InvalidStateException,0,4,0,0,0,2,0,1,0,1
ShareIt,ru.practicum.shareit.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
ShareIt,ru.practicum.shareit.exception,ErrorHandler,0,81,0,0,0,17,0,9,0,9
ShareIt,ru.practicum.shareit.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
ShareIt,ru.practicum.shareit.request,ItemRequestController,0,78,0,0,0,9,0,5,0,5
ShareIt,ru.practicum.shareit.request,ItemRequestServiceImpl,0,272,0,0,0,43,0,12,0,12
ShareIt,ru.practicum.shareit.request,ItemRequestMapper,11,43,2,2,2,15,2,3,0,3
ShareIt,ru.practicum.shareit.booking,BookingMapper,6,66,3,3,0,22,3,3,0,3
ShareIt,ru.practicum.shareit.booking,BookingController,0,112,0,0,0,11,0,6,0,6
ShareIt,ru.practicum.shareit.booking,BookingServiceImpl,33,606,7,25,4,95,9,22,2,8
ShareIt,ru.practicum.shareit.booking,BookingState,0,64,0,0,0,7,0,1,0,1
ShareIt,ru.practicum.shareit.booking,BookingStatus,0,44,0,0,0,5,0,1,0,1
ShareIt,ru.practicum.shareit.user,UserController,0,49,0,0,0,12,0,6,0,6
ShareIt,ru.practicum.shareit.user,UserServiceImpl,5,112,1,1,1,25,1,7,0,7
ShareIt,ru.practicum.shareit.user,UserMapper,40,33,3,3,9,11,5,4,3,3
ShareIt,ru.practicum.shareit,ShareItApp,5,3,0,0,2,1,1,1,1,1
ShareIt,ru.practicum.shareit,Config,0,45,0,0,0,6,0,2,0,2
ShareIt,ru.practicum.shareit.item,ItemController,0,125,0,0,0,13,0,7,0,7
ShareIt,ru.practicum.shareit.item,ItemMapper,36,45,3,3,7,15,4,3,1,3
ShareIt,ru.practicum.shareit.item,ItemServiceImpl,61,464,11,15,3,110,17,23,8,19
